,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
5161,Colombie,2015,stats,-0.13573758123334825,-0.06736048771311623,0.06452418302500387,-0.529856329166811
5162,Comores,2015,stats,0.06937074707643762,-0.06736048771311623,0.06452418302500387,1.0595348005922747
5163,Corée du Nord,2015,stats,-0.10430550175200481,-0.06736048771311623,0.06452418302500387,-0.2862881194836048
5164,Corée du Sud,2015,stats,-0.03817816706760216,-0.06736048771311623,0.06452418302500387,0.22613475504374522
5165,Costa Rica,2015,stats,-0.14305050630259436,-0.06736048771311623,0.06452418302500387,-0.5865244241848623
5166,Croatie,2015,stats,-0.13090114734651803,-0.06736048771311623,0.06452418302500387,-0.4923786451413035
5167,Cuba,2015,stats,-0.06785534995773942,-0.06736048771311623,0.06452418302500387,-0.003834703683357219
5168,Côte d’Ivoire,2015,stats,0.06999193385167733,-0.06736048771311623,0.06452418302500387,1.0643483971859657
5169,Danemark,2015,stats,-0.13013776740361838,-0.06736048771311623,0.06452418302500387,-0.486463189050958
5170,Djibouti,2015,stats,-0.038821219062954514,-0.06736048771311623,0.06452418302500387,0.2211517241458324
5171,Dominique,2015,stats,-0.06479259791818605,-0.06736048771311623,0.06452418302500387,0.01989866182370022
5172,Espagne,2015,stats,-0.1165064645638061,-0.06736048771311623,0.06452418302500387,-0.3808337784892622
5173,Estonie,2015,stats,-0.12933462513584823,-0.06736048771311623,0.06452418302500387,-0.48023961340755217
5174,Eswatini,2015,stats,-0.0693517221345008,-0.06736048771311623,0.06452418302500387,-0.015430140515013943
5175,Fidji,2015,stats,-0.1562152438919944,-0.06736048771311623,0.06452418302500387,-0.6885384053948107
5176,Finlande,2015,stats,-0.10450228936273079,-0.06736048771311623,0.06452418302500387,-0.2878130331012612
5177,France,2015,stats,-0.06986428699661328,-0.06736048771311623,0.06452418302500387,-0.019402022359018438
5178,Gabon,2015,stats,0.004034033195789238,-0.06736048771311623,0.06452418302500387,0.5532384724750351
5179,Gambie,2015,stats,-0.10181769062427976,-0.06736048771311623,0.06452418302500387,-0.26700998986543506
5180,Ghana,2015,stats,0.018276634705959645,-0.06736048771311623,0.06452418302500387,0.6636048563829974
5181,Grenade,2015,stats,-0.14150836953777726,-0.06736048771311623,0.06452418302500387,-0.5745743560668398
5182,Grèce,2015,stats,-0.016502873470847248,-0.06736048771311623,0.06452418302500387,0.39409731249569685
5183,Guatemala,2015,stats,-0.014006758199932984,-0.06736048771311623,0.06452418302500387,0.4134397911904445
5184,Guinée,2015,stats,0.02818991112891588,-0.06736048771311623,0.06452418302500387,0.7404231589031139
5185,Guinée équatoriale,2015,stats,-0.0460582573069476,-0.06736048771311623,0.06452418302500387,0.1650716786132245
5186,Guinée-Bissau,2015,stats,-0.008362336616094953,-0.06736048771311623,0.06452418302500387,0.4571785982486505
5187,Guyana,2015,stats,-0.05388638545686441,-0.06736048771311623,0.06452418302500387,0.10441125810946299
5188,Géorgie,2015,stats,-0.037126722428735964,-0.06736048771311623,0.06452418302500387,0.23428243386409345
5189,Haïti,2015,stats,0.06701422428264162,-0.06736048771311623,0.06452418302500387,1.0412740285583009
5190,Honduras,2015,stats,-0.1337160420076079,-0.06736048771311623,0.06452418302500387,-0.5141913557338503
5191,Hongrie,2015,stats,-0.10276083846098956,-0.06736048771311623,0.06452418302500387,-0.27431847323161984
5192,Ile Maurice,2015,stats,-0.1648730441093746,-0.06736048771311623,0.06452418302500387,-0.7556279818255979
5193,Inde,2015,stats,-0.00978004160199694,-0.06736048771311623,0.06452418302500387,0.4461927560462578
5194,Indonésie,2015,stats,-0.08165986120778591,-0.06736048771311623,0.06452418302500387,-0.11080631186859437
5195,Irak,2015,stats,0.014468353975433756,-0.06736048771311623,0.06452418302500387,0.6340943647193514
5196,Iran,2015,stats,-0.010647018340532804,-0.06736048771311623,0.06452418302500387,0.43947452500565787
5197,Irlande,2015,stats,-0.09890170155720653,-0.06736048771311623,0.06452418302500387,-0.2444138954217189
5198,Islande,2015,stats,-0.15393238464559877,-0.06736048771311623,0.06452418302500387,-0.6708484545936437
5199,Israël,2015,stats,-0.11651879569487361,-0.06736048771311623,0.06452418302500387,-0.38092933282632935
5200,Italie,2015,stats,-0.11350671501953494,-0.06736048771311623,0.06452418302500387,-0.3575886213742257
5201,Jamaïque,2015,stats,-0.16077717631975383,-0.06736048771311623,0.06452418302500387,-0.7238889686556553
5202,Japon,2015,stats,-0.06846616334025539,-0.06736048771311623,0.06452418302500387,-0.008567916518297474
5203,Jordanie,2015,stats,-0.11664289145497947,-0.06736048771311623,0.06452418302500387,-0.38189095492124037
5204,Kazakhstan,2015,stats,-0.048753033179119505,-0.06736048771311623,0.06452418302500387,0.1441897724360657
5205,Kenya,2015,stats,-0.10209987828441942,-0.06736048771311623,0.06452418302500387,-0.269196671253019
5206,Kirghizistan,2015,stats,-0.0681089452986807,-0.06736048771311623,0.06452418302500387,-0.005799822256365725
5207,Kiribati,2015,stats,-0.03749917201999368,-0.06736048771311623,0.06452418302500387,0.23139630982658813
5208,Koweït,2015,stats,0.002941108460072452,-0.06736048771311623,0.06452418302500387,0.5447693630304935
5209,Laos,2015,stats,-0.13699006821789333,-0.06736048771311623,0.06452418302500387,-0.5395618916848186
5210,Lesotho,2015,stats,-0.07716186681669063,-0.06736048771311623,0.06452418302500387,-0.07595120654047063
